trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1447,False,"{'a': 0.001, 'e': 0.23551044831306475}",20,14,-31.177077824674512,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
1448,False,"{'a': 0.001, 'e': 0.2352750555807339}",25,0,-27.25817647001995,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
1449,False,"{'a': 0.001, 'e': 0.23503989812347828}",30,19,18.55058112288721,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1450,False,"{'a': 0.001, 'e': 0.2348049757061403}",25,7,13.691952235346893,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1451,False,"{'a': 0.001, 'e': 0.23457028809379765}",25,7,26.38652465057928,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1452,False,"{'a': 0.001, 'e': 0.23433583505176261}",25,7,23.54139127057006,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1453,False,"{'a': 0.001, 'e': 0.2341016163455822}",25,11,15.27343028247664,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1454,False,"{'a': 0.001, 'e': 0.23386763174103756}",25,11,11.283406953579865,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1455,False,"{'a': 0.001, 'e': 0.23363388100414423}",25,0,32.67608671331109,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1456,False,"{'a': 0.001, 'e': 0.23340036390115132}",35,5,-30.7278162056502,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",1
1457,False,"{'a': 0.001, 'e': 0.2331670801985418}",30,17,22.39191292074622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1458,False,"{'a': 0.001, 'e': 0.23293402966303187}",20,6,21.755092513763465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
